"Delta.M1","Delta.Inter","Delta.COV","Usa_Vel","Primavera_flag","Delta.prima","Sazo.Cycle","Delta.sazo","Delay","Error"
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,7,0.188513361443959
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,5,0.188527117897001
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,9,0.188557747460431
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,4,0.18865497019954
0.9,1,1,TRUE,"Sem",0.95,"Anual",1,4,0.18871367814455
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,1,0.188764885645316
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.96,11,0.188819409193818
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,4,0.188833347561316
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,1,0.188850201488138
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,2,0.188916518106466
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,1,0.188928033051782
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,10,0.188950607963112
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,9,0.188971736966974
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,3,0.188973291819104
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,10,0.188973640067552
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,8,0.189002265520273
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,8,0.189006693075948
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.99,11,0.189020543513326
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,7,0.189027634162535
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,2,0.189085116206283
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,0,0.189139890525711
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.98,4,0.189168505346622
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,4,0.189184527053527
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.99,3,0.189201423304045
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,8,0.189221567050424
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,6,0.189247797271475
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.96,11,0.189286496730742
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,3,0.18929818745064
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,9,0.189319927944768
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,7,0.189321255162684
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,3,0.189386883729137
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,7,0.189501627608512
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,12,0.189529301009137
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.97,11,0.189580670300853
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,2,0.189593477908115
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.99,4,0.18968684634767
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,9,0.189689702328592
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,10,0.189773631667642
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.99,5,0.189777269840833
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.97,12,0.18980063803259
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,5,0.189824145349151
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,8,0.18983459076745
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,0,0.189834659532205
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,3,0.189868629959179
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,3,0.18991081429066
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,3,0.18991081429066
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,3,0.18991081429066
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,3,0.18991081429066
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,3,0.18991081429066
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,3,0.18991081429066
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,3,0.18991081429066
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,3,0.18991081429066
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,3,0.18991081429066
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,3,0.18991081429066
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,3,0.18991081429066
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,5,0.189948430774992
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,6,0.189959751012145
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,5,0.189965126704261
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,12,0.189981440470541
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,0,0.190005249294655
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,6,0.190025054340876
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.97,4,0.190033728659892
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,1,0.190042145796265
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,6,0.190055271337624
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,2,0.190057758925923
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,2,0.190057758925923
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,2,0.190057758925923
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,2,0.190057758925923
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,2,0.190057758925923
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,2,0.190057758925923
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,2,0.190057758925923
