"Delta.M1","Delta.Inter","Delta.COV","Usa_Vel","Primavera_flag","Delta.prima","Sazo.Cycle","Delta.sazo","Delay","Error"
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.95,1,0.199069004752373
0.86,1,1,FALSE,"Sem",0.95,"Anual",0.96,4,0.199092635060282
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.94,6,0.199097760279155
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.99,8,0.199103809937146
0.86,1,1,FALSE,"Sem",0.95,"Anual",0.99,11,0.199105508391225
0.84,1,1,TRUE,"Sem",0.95,"Anual",1,2,0.199109324429597
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.93,6,0.199109755402196
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.97,11,0.199123793370548
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.94,1,0.199127281995032
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.93,2,0.199128029486021
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.95,4,0.199130022079299
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.9,0,0.199131274576251
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.9,8,0.199132557991702
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.91,8,0.199132557991702
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.92,8,0.199132557991702
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.93,8,0.199132557991702
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.94,8,0.199132557991702
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.95,8,0.199132557991702
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.96,8,0.199132557991702
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.97,8,0.199132557991702
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.98,8,0.199132557991702
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.99,8,0.199132557991702
0.92,1,1,TRUE,"Sem",0.95,"Sem",1,8,0.199132557991702
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.95,9,0.199135714283144
0.82,1,1,FALSE,"Sem",0.95,"Sem",0.9,0,0.199138451268097
0.82,1,1,FALSE,"Sem",0.95,"Sem",0.91,0,0.199138451268097
0.82,1,1,FALSE,"Sem",0.95,"Sem",0.92,0,0.199138451268097
0.82,1,1,FALSE,"Sem",0.95,"Sem",0.93,0,0.199138451268097
0.82,1,1,FALSE,"Sem",0.95,"Sem",0.94,0,0.199138451268097
0.82,1,1,FALSE,"Sem",0.95,"Sem",0.95,0,0.199138451268097
0.82,1,1,FALSE,"Sem",0.95,"Sem",0.96,0,0.199138451268097
0.82,1,1,FALSE,"Sem",0.95,"Sem",0.97,0,0.199138451268097
0.82,1,1,FALSE,"Sem",0.95,"Sem",0.98,0,0.199138451268097
0.82,1,1,FALSE,"Sem",0.95,"Sem",0.99,0,0.199138451268097
0.82,1,1,FALSE,"Sem",0.95,"Sem",1,0,0.199138451268097
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.98,9,0.19914256696424
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.96,6,0.199147599267528
0.86,1,1,TRUE,"Sem",0.95,"Anual",1,7,0.199159119279681
0.86,1,1,FALSE,"Sem",0.95,"Anual",0.97,3,0.199172070047873
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.94,0,0.199190454978333
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.97,6,0.199192920528038
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.96,3,0.199196219855033
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.92,0,0.19919773146654
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.9,1,0.199204339668655
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.91,1,0.199204339668655
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.92,1,0.199204339668655
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.93,1,0.199204339668655
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.94,1,0.199204339668655
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.95,1,0.199204339668655
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.96,1,0.199204339668655
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.97,1,0.199204339668655
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.98,1,0.199204339668655
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.99,1,0.199204339668655
0.88,1,1,TRUE,"Sem",0.95,"Sem",1,1,0.199204339668655
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.96,2,0.199211756217832
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.9,6,0.199212293949366
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.91,6,0.199212293949366
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.92,6,0.199212293949366
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.93,6,0.199212293949366
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.94,6,0.199212293949366
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.95,6,0.199212293949366
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.96,6,0.199212293949366
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.97,6,0.199212293949366
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.98,6,0.199212293949366
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.99,6,0.199212293949366
0.92,1,1,TRUE,"Sem",0.95,"Sem",1,6,0.199212293949366
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.97,12,0.199227150128229
0.82,1,1,FALSE,"Sem",0.95,"Anual",1,10,0.199232429644269
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.94,12,0.19923591194734
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.95,5,0.199239868320829
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.99,3,0.199257300477418
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.97,11,0.199260018086062
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.9,12,0.199261055542919
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.9,10,0.199268496196412
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.91,10,0.199268496196412
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.92,10,0.199268496196412
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.93,10,0.199268496196412
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.94,10,0.199268496196412
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.95,10,0.199268496196412
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.96,10,0.199268496196412
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.97,10,0.199268496196412
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.98,10,0.199268496196412
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.99,10,0.199268496196412
0.92,1,1,TRUE,"Sem",0.95,"Sem",1,10,0.199268496196412
0.86,1,1,TRUE,"Sem",0.95,"Anual",1,12,0.199271977642511
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.95,11,0.199283195406645
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.91,10,0.199287912052973
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.98,8,0.199302756908208
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.96,4,0.199310555571282
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.9,7,0.199311137743815
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.96,10,0.199312807733874
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.91,0,0.199319488475673
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.95,2,0.199327117419451
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.94,9,0.19932755257002
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.93,5,0.199329250576585
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.91,1,0.199332486874067
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.9,2,0.19933719860743
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.91,2,0.19933719860743
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.92,2,0.19933719860743
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.93,2,0.19933719860743
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.94,2,0.19933719860743
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.95,2,0.19933719860743
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.96,2,0.19933719860743
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.97,2,0.19933719860743
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.98,2,0.19933719860743
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.99,2,0.19933719860743
0.8,1,1,FALSE,"Sem",0.95,"Sem",1,2,0.19933719860743
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.94,11,0.199349654158423
0.88,1,1,FALSE,"Sem",0.95,"Anual",1,5,0.199350669550014
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.94,5,0.19935350922534
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.93,4,0.199356583347521
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.97,0,0.19936376135474
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.93,3,0.199366188915414
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.91,8,0.199368936581941
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.97,7,0.199388725942071
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.95,3,0.199411879355442
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.99,11,0.199413189624157
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.98,4,0.199415186823511
0.9,1,1,TRUE,"Sem",0.95,"Sem",0.9,11,0.199419132093295
0.9,1,1,TRUE,"Sem",0.95,"Sem",0.91,11,0.199419132093295
0.9,1,1,TRUE,"Sem",0.95,"Sem",0.92,11,0.199419132093295
0.9,1,1,TRUE,"Sem",0.95,"Sem",0.93,11,0.199419132093295
0.9,1,1,TRUE,"Sem",0.95,"Sem",0.94,11,0.199419132093295
0.9,1,1,TRUE,"Sem",0.95,"Sem",0.95,11,0.199419132093295
0.9,1,1,TRUE,"Sem",0.95,"Sem",0.96,11,0.199419132093295
0.9,1,1,TRUE,"Sem",0.95,"Sem",0.97,11,0.199419132093295
0.9,1,1,TRUE,"Sem",0.95,"Sem",0.98,11,0.199419132093295
0.9,1,1,TRUE,"Sem",0.95,"Sem",0.99,11,0.199419132093295
0.9,1,1,TRUE,"Sem",0.95,"Sem",1,11,0.199419132093295
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.94,11,0.199443923292281
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.96,2,0.199447021863962
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.97,7,0.199451577344774
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.92,12,0.19946651308408
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.96,1,0.199467669522983
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.9,10,0.199469582391378
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.92,6,0.19948288760553
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.97,12,0.199523604143009
0.88,1,1,FALSE,"Sem",0.95,"Anual",0.97,4,0.19953415742554
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.91,5,0.199534636322593
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.98,10,0.199537910857917
0.84,1,1,FALSE,"Sem",0.95,"Anual",1,8,0.199538153902713
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.95,7,0.199538820578119
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.94,4,0.199541927325741
0.84,1,1,TRUE,"Sem",0.95,"Anual",1,6,0.199551417775733
0.88,1,1,FALSE,"Sem",0.95,"Anual",0.99,2,0.199561557807484
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.94,1,0.199578544699734
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.97,3,0.199596812818084
0.86,1,1,FALSE,"Sem",0.95,"Anual",0.97,1,0.199597091340551
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.92,7,0.199598313023093
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.9,0,0.19960629528158
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.92,1,0.199615020929535
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.96,12,0.199623091042189
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.93,3,0.199625674817911
0.88,1,1,FALSE,"Sem",0.95,"Anual",0.99,0,0.199638609212648
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.97,1,0.199644740210181
0.86,1,1,FALSE,"Sem",0.95,"Anual",1,7,0.19964634136481
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.94,0,0.199673372036955
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.95,3,0.199677358092604
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.94,6,0.199677576975632
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.9,0,0.199688091458678
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.91,0,0.199688091458678
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.92,0,0.199688091458678
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.93,0,0.199688091458678
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.94,0,0.199688091458678
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.95,0,0.199688091458678
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.96,0,0.199688091458678
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.97,0,0.199688091458678
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.98,0,0.199688091458678
0.88,1,1,TRUE,"Sem",0.95,"Sem",0.99,0,0.199688091458678
0.88,1,1,TRUE,"Sem",0.95,"Sem",1,0,0.199688091458678
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.91,3,0.199690406809339
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.99,10,0.199701191814475
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.96,0,0.199710940438253
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.98,7,0.199720988060619
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.99,7,0.199750688603473
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.9,4,0.199762519042725
0.84,1,1,TRUE,"Sem",0.95,"Anual",1,5,0.199764869085242
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.98,10,0.199767522415434
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.96,12,0.199780014335325
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.96,7,0.199781974829013
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.95,0,0.199787570742229
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.95,1,0.199810377005479
0.88,1,1,FALSE,"Sem",0.95,"Anual",0.98,3,0.199824084353784
0.86,1,1,FALSE,"Sem",0.95,"Anual",0.97,6,0.199832121025174
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.99,2,0.199842604052811
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.96,6,0.199845761669823
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.91,6,0.199847118695904
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.92,3,0.199849820556047
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.93,0,0.199851469097016
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.96,8,0.199863257118887
0.88,1,1,TRUE,"Sem",0.95,"Anual",1,9,0.199866370408551
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.96,5,0.199871454857921
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.95,5,0.199872121896404
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.94,4,0.199878720666865
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.99,6,0.199883894253522
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.9,8,0.199889017989522
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.9,9,0.199894742937451
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.91,9,0.199894742937451
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.92,9,0.199894742937451
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.93,9,0.199894742937451
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.94,9,0.199894742937451
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.95,9,0.199894742937451
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.96,9,0.199894742937451
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.97,9,0.199894742937451
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.98,9,0.199894742937451
0.92,1,1,TRUE,"Sem",0.95,"Sem",0.99,9,0.199894742937451
0.92,1,1,TRUE,"Sem",0.95,"Sem",1,9,0.199894742937451
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.92,8,0.199895963515363
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.92,2,0.199901414040894
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.98,0,0.199903318328564
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.96,11,0.1999053766038
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.92,10,0.199910307243012
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.9,1,0.199911722438041
0.88,1,1,FALSE,"Sem",0.95,"Anual",0.99,5,0.199913801465591
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.95,5,0.199917542080004
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.94,6,0.199921546248124
0.86,1,1,TRUE,"Sem",0.95,"Anual",1,10,0.199936867863236
0.9,1,1,FALSE,"Sem",0.95,"Anual",1,4,0.199941373564483
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.94,10,0.199943709748174
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.94,7,0.199945111468889
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.92,4,0.199946216751389
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.92,4,0.199949206129724
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.96,7,0.199963912311986
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.92,6,0.199964267014575
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.93,5,0.199985602288535
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.93,8,0.20000635810428
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.91,0,0.200013200789364
0.86,1,1,FALSE,"Sem",0.95,"Anual",0.97,5,0.200013661232124
0.86,1,1,TRUE,"Sem",0.95,"Anual",1,8,0.200015573432857
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.98,8,0.20001610279402
0.86,1,1,FALSE,"Sem",0.95,"Anual",0.97,0,0.200022600690863
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.92,1,0.200038438523614
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.91,6,0.200042739417111
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.99,12,0.200046011643011
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.98,12,0.200053349085508
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.93,6,0.200069976473332
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.95,2,0.200071977606316
0.8,1,1,FALSE,"Sem",0.95,"Anual",1,9,0.20008175547846
0.88,1,1,FALSE,"Sem",0.95,"Anual",0.98,1,0.200092044110375
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.91,7,0.200096355020938
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.93,2,0.20011080527318
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.93,9,0.200114014003675
0.86,1,1,FALSE,"Sem",0.95,"Anual",1,12,0.200118325864236
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.92,5,0.200121290208183
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.94,0,0.200136309098764
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.92,7,0.200146479757
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.93,2,0.200151019476111
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.96,11,0.200154533580892
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.9,5,0.200156662008944
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.91,4,0.200160540375196
0.86,1,1,FALSE,"Sem",0.95,"Anual",0.98,11,0.200162649913604
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.95,6,0.200166842256417
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.98,1,0.200172664999971
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.92,5,0.200175307483821
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.95,8,0.200176064150143
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.91,11,0.200181253602733
0.84,1,1,FALSE,"Sem",0.95,"Anual",1,10,0.200190437607898
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.91,1,0.200207363447278
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.98,8,0.200211594753795
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.98,11,0.20021345051747
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.9,4,0.200222772575031
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.91,4,0.200222772575031
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.92,4,0.200222772575031
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.93,4,0.200222772575031
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.94,4,0.200222772575031
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.95,4,0.200222772575031
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.96,4,0.200222772575031
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.97,4,0.200222772575031
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.98,4,0.200222772575031
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.99,4,0.200222772575031
0.8,1,1,FALSE,"Sem",0.95,"Sem",1,4,0.200222772575031
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.9,7,0.20023772867593
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.93,11,0.200240792588102
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.9,6,0.20025231508079
0.86,1,1,FALSE,"Sem",0.95,"Anual",0.99,7,0.200269357916313
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.94,2,0.200279422352132
0.9,1,1,FALSE,"Sem",0.95,"Anual",0.99,4,0.200280289062525
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.93,1,0.200287869648257
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.92,3,0.200293372655366
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.94,3,0.200301639260817
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.97,5,0.200302535644627
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.92,6,0.200313061368345
0.88,1,1,FALSE,"Sem",0.95,"Anual",1,6,0.200326182019607
0.82,1,1,TRUE,"Sem",0.95,"Anual",1,0,0.200336127191541
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.93,4,0.20034176373731
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.95,0,0.200348662853763
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.99,8,0.200350198862234
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.94,11,0.200352647540079
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.94,1,0.200393507380806
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.9,3,0.200399239233814
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.93,12,0.20039984797496
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.95,1,0.200403388406871
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.91,8,0.200407967880872
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.9,1,0.200418906637843
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.99,5,0.200423558191462
0.86,1,1,FALSE,"Sem",0.95,"Anual",0.97,2,0.200447244738914
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.91,12,0.200449269131824
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.96,9,0.200452478172483
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.97,8,0.200455708005196
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.98,10,0.20045572681286
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.9,3,0.200456088613179
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.91,3,0.200456088613179
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.92,3,0.200456088613179
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.93,3,0.200456088613179
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.94,3,0.200456088613179
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.95,3,0.200456088613179
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.96,3,0.200456088613179
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.97,3,0.200456088613179
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.98,3,0.200456088613179
0.8,1,1,FALSE,"Sem",0.95,"Sem",0.99,3,0.200456088613179
0.8,1,1,FALSE,"Sem",0.95,"Sem",1,3,0.200456088613179
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.96,2,0.20047385414349
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.98,6,0.200477937950748
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.98,3,0.2004842389471
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.94,7,0.200489978425626
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.96,7,0.200513870102121
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.95,10,0.200527846297323
0.88,1,1,FALSE,"Sem",0.95,"Anual",0.99,6,0.200535253724552
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.9,8,0.200547004220644
0.82,1,1,FALSE,"Sem",0.95,"Anual",0.96,12,0.200547254720626
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.95,6,0.200568345661799
0.84,1,1,TRUE,"Sem",0.95,"Anual",0.97,4,0.200585677160648
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.97,10,0.200585751066518
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.99,9,0.200586973666731
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.91,2,0.200591245569799
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.93,11,0.200591642865932
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.95,12,0.20059435047426
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.9,6,0.20061696759027
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.93,3,0.200618802912879
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.92,0,0.200620017121202
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.91,10,0.200623292164734
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.91,4,0.200623383947149
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.91,5,0.200646689360445
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.95,4,0.200652146676501
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.99,10,0.200659056043215
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.94,5,0.200676890439152
0.88,1,1,TRUE,"Sem",0.95,"Anual",0.95,12,0.200685338099582
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.97,10,0.200689563540165
0.84,1,1,FALSE,"Sem",0.95,"Anual",0.95,3,0.200692700247709
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.9,0,0.200692753411285
0.86,1,1,TRUE,"Sem",0.95,"Anual",0.97,2,0.200702743916979
