Delta.M1,Delta.Inter,Delta.COV,Delta.gravi,Ord.M1,Error
0.82,0.94,0.98,0.98,1,0.77297223
0.82,0.94,0.98,0.98,2,1.295405584
0.82,0.94,0.98,0.99,1,0.77149895
0.82,0.94,0.98,0.99,2,1.29332893
0.82,0.94,0.98,1,1,0.770044798
0.82,0.94,0.98,1,2,1.291548408
0.82,0.94,0.99,0.9,1,0.790705098
0.82,0.94,0.99,0.9,2,1.412198736
0.82,0.94,0.99,0.91,1,0.786539755
0.82,0.94,0.99,0.91,2,1.367101869
0.82,0.94,0.99,0.92,1,0.78325214
0.82,0.94,0.99,0.92,2,1.340243428
0.82,0.94,0.99,0.93,1,0.781167856
0.82,0.94,0.99,0.93,2,1.323024306
0.82,0.94,0.99,0.94,1,0.779300847
0.82,0.94,0.99,0.94,2,1.31221788
0.82,0.94,0.99,0.95,1,0.777548255
0.82,0.94,0.99,0.95,2,1.305368746
0.82,0.94,0.99,0.96,1,0.775872633
0.82,0.94,0.99,0.96,2,1.300967552
0.82,0.94,0.99,0.97,1,0.774364131
0.82,0.94,0.99,0.97,2,1.297815963
0.82,0.94,0.99,0.98,1,0.772893813
0.82,0.94,0.99,0.98,2,1.295296688
0.82,0.94,0.99,0.99,1,0.771422287
0.82,0.94,0.99,0.99,2,1.293225302
0.82,0.94,0.99,1,1,0.769969247
0.82,0.94,0.99,1,2,1.291448558
0.82,0.94,1,0.9,1,0.790555691
0.82,0.94,1,0.9,2,1.411669893
0.82,0.94,1,0.91,1,0.786409264
0.82,0.94,1,0.91,2,1.366725759
0.82,0.94,1,0.92,1,0.783141296
0.82,0.94,1,0.92,2,1.339962473
0.82,0.94,1,0.93,1,0.781067313
0.82,0.94,1,0.93,2,1.322805604
0.82,0.94,1,0.94,1,0.779208574
0.82,0.94,1,0.94,2,1.312041253
0.82,0.94,1,0.95,1,0.777462443
0.82,0.94,1,0.95,2,1.305219577
0.82,0.94,1,0.96,1,0.775791683
0.82,0.94,1,0.96,2,1.300847555
0.82,0.94,1,0.97,1,0.774286681
0.82,0.94,1,0.97,2,1.297706461
0.82,0.94,1,0.98,1,0.772818764
0.82,0.94,1,0.98,2,1.295194178
0.82,0.94,1,0.99,1,0.771348806
0.82,0.94,1,0.99,2,1.293127568
0.82,0.94,1,1,1,0.769896738
0.82,0.94,1,1,2,1.291354234
0.82,0.95,0.9,0.9,1,0.790278482
0.82,0.95,0.9,0.9,2,1.40216457
0.82,0.95,0.9,0.91,1,0.786346914
0.82,0.95,0.9,0.91,2,1.360268244
0.82,0.95,0.9,0.92,1,0.783610222
0.82,0.95,0.9,0.92,2,1.334970081
0.82,0.95,0.9,0.93,1,0.781580666
0.82,0.95,0.9,0.93,2,1.31902746
0.82,0.95,0.9,0.94,1,0.779708509
0.82,0.95,0.9,0.94,2,1.30942226
0.82,0.95,0.9,0.95,1,0.777947607
0.82,0.95,0.9,0.95,2,1.303545501
0.82,0.95,0.9,0.96,1,0.776262775
0.82,0.95,0.9,0.96,2,1.299639865
0.82,0.95,0.9,0.97,1,0.774752928
0.82,0.95,0.9,0.97,2,1.296642343
0.82,0.95,0.9,0.98,1,0.773271662
0.82,0.95,0.9,0.98,2,1.294415672
0.82,0.95,0.9,0.99,1,0.771791419
0.82,0.95,0.9,0.99,2,1.292696407
0.82,0.95,0.9,1,1,0.770357503
0.82,0.95,0.9,1,2,1.291260936
0.82,0.95,0.91,0.9,1,0.790035318
0.82,0.95,0.91,0.9,2,1.401193553
0.82,0.95,0.91,0.91,1,0.78613643
0.82,0.95,0.91,0.91,2,1.359593351
0.82,0.95,0.91,0.92,1,0.783433274
0.82,0.95,0.91,0.92,2,1.334478579
0.82,0.95,0.91,0.93,1,0.781422271
0.82,0.95,0.91,0.93,2,1.31865522
0.82,0.95,0.91,0.94,1,0.779564973
0.82,0.95,0.91,0.94,2,1.309154944
0.82,0.95,0.91,0.95,1,0.777815771
0.82,0.95,0.91,0.95,2,1.303323339
0.82,0.95,0.91,0.96,1,0.776139916
0.82,0.95,0.91,0.96,2,1.299447729
0.82,0.95,0.91,0.97,1,0.77463673
0.82,0.95,0.91,0.97,2,1.296470212
0.82,0.95,0.91,0.98,1,0.77316022
0.82,0.95,0.91,0.98,2,1.294256947
0.82,0.95,0.91,0.99,1,0.77168324
0.82,0.95,0.91,0.99,2,1.292551401
0.82,0.95,0.91,1,1,0.770251484
0.82,0.95,0.91,1,2,1.291122006
0.82,0.95,0.92,0.9,1,0.789806717
0.82,0.95,0.92,0.9,2,1.400300227
0.82,0.95,0.92,0.91,1,0.785938206
0.82,0.95,0.92,0.91,2,1.358969987
0.82,0.95,0.92,0.92,1,0.783266393
0.82,0.95,0.92,0.92,2,1.334022974
0.82,0.95,0.92,0.93,1,0.7812726
0.82,0.95,0.92,0.93,2,1.318309149
0.82,0.95,0.92,0.94,1,0.779429095
0.82,0.95,0.92,0.94,2,1.308905407
0.82,0.95,0.92,0.95,1,0.777690745
0.82,0.95,0.92,0.95,2,1.303115476
0.82,0.95,0.92,0.96,1,0.776023201
0.82,0.95,0.92,0.96,2,1.299267593
0.82,0.95,0.92,0.97,1,0.774526162
0.82,0.95,0.92,0.97,2,1.296308534
0.82,0.95,0.92,0.98,1,0.773054018
0.82,0.95,0.92,0.98,2,1.294107616
0.82,0.95,0.92,0.99,1,0.771580013
0.82,0.95,0.92,0.99,2,1.292414852
0.82,0.95,0.92,1,1,0.770150208
0.82,0.95,0.92,1,2,1.290991012
0.82,0.95,0.93,0.9,1,0.789591747
0.82,0.95,0.93,0.9,2,1.399477405
0.82,0.95,0.93,0.91,1,0.785751485
0.82,0.95,0.93,0.91,2,1.35839374
0.82,0.95,0.93,0.92,1,0.783108966
0.82,0.95,0.93,0.92,2,1.333600401
0.82,0.95,0.93,0.93,1,0.781131133
0.82,0.95,0.93,0.93,2,1.31798728
0.82,0.95,0.93,0.94,1,0.779300425
0.82,0.95,0.93,0.94,2,1.308672467
0.82,0.95,0.93,0.95,1,0.777572134
0.82,0.95,0.93,0.95,2,1.302920994
0.82,0.95,0.93,0.96,1,0.775912276
0.82,0.95,0.93,0.96,2,1.2990987
0.82,0.95,0.93,0.97,1,0.774420899
0.82,0.95,0.93,0.97,2,1.296156658
0.82,0.95,0.93,0.98,1,0.772952754
0.82,0.95,0.93,0.98,2,1.293967094
0.82,0.95,0.93,0.99,1,0.771481452
0.82,0.95,0.93,0.99,2,1.292286229
0.82,0.95,0.93,1,1,0.7700534
0.82,0.95,0.93,1,2,1.290867459
0.82,0.95,0.94,0.9,1,0.789389516
0.82,0.95,0.94,0.9,2,1.39871856
0.82,0.95,0.94,0.91,1,0.785575541
0.82,0.95,0.94,0.91,2,1.357860545
0.82,0.95,0.94,0.92,1,0.782960398
0.82,0.95,0.94,0.92,2,1.333208193
0.82,0.95,0.94,0.93,1,0.780997368
0.82,0.95,0.94,0.93,2,1.317687766
0.82,0.95,0.94,0.94,1,0.77917853
0.82,0.95,0.94,0.94,2,1.308454991
0.82,0.95,0.94,0.95,1,0.777459559
0.82,0.95,0.94,0.95,2,1.30273901
0.82,0.95,0.94,0.96,1,0.775806801
0.82,0.95,0.94,0.96,2,1.298940326
0.82,0.95,0.94,0.97,1,0.774320629
0.82,0.95,0.94,0.97,2,1.296013956
0.82,0.95,0.94,0.98,1,0.772856138
0.82,0.95,0.94,0.98,2,1.293834821
0.82,0.95,0.94,0.99,1,0.771387284
0.82,0.95,0.94,0.99,2,1.292165021
0.82,0.95,0.94,1,1,0.769960798
0.82,0.95,0.94,1,2,1.290750868
0.82,0.95,0.95,0.9,1,0.789199168
0.82,0.95,0.95,0.9,2,1.398017773
0.82,0.95,0.95,0.91,1,0.785409674
0.82,0.95,0.95,0.91,2,1.357366673
0.82,0.95,0.95,0.92,1,0.782820116
0.82,0.95,0.95,0.92,2,1.332843874
0.82,0.95,0.95,0.93,1,0.780870821
0.82,0.95,0.95,0.93,2,1.317408878
0.82,0.95,0.95,0.94,1,0.779062994
0.82,0.95,0.95,0.94,2,1.3082519
0.82,0.95,0.95,0.95,1,0.777352654
0.82,0.95,0.95,0.95,2,1.302568684
0.82,0.95,0.95,0.96,1,0.775706449
0.82,0.95,0.95,0.96,2,1.298791775
0.82,0.95,0.95,0.97,1,0.774225056
0.82,0.95,0.95,0.97,2,1.29587983
0.82,0.95,0.95,0.98,1,0.772763894
0.82,0.95,0.95,0.98,2,1.293710262
0.82,0.95,0.95,0.99,1,0.771297249
0.82,0.95,0.95,0.99,2,1.292050739
0.82,0.95,0.95,1,1,0.769872154
0.82,0.95,0.95,1,2,1.290640784
0.82,0.95,0.96,0.9,1,0.78901989
0.82,0.95,0.96,0.9,2,1.397369685
0.82,0.95,0.96,0.91,1,0.785253218
0.82,0.95,0.96,0.91,2,1.3569087
0.82,0.95,0.96,0.92,1,0.782687573
0.82,0.95,0.96,0.92,2,1.332505152
0.82,0.95,0.96,0.93,1,0.780751027
0.82,0.95,0.96,0.93,2,1.317149002
0.82,0.95,0.96,0.94,1,0.778953416
0.82,0.95,0.96,0.94,2,1.308062173
0.82,0.95,0.96,0.95,1,0.777251068
0.82,0.95,0.96,0.95,2,1.302409213
0.82,0.95,0.96,0.96,1,0.775610907
0.82,0.95,0.96,0.96,2,1.298652387
0.82,0.95,0.96,0.97,1,0.774133896
0.82,0.95,0.96,0.97,2,1.295753708
0.82,0.95,0.96,0.98,1,0.772675761
0.82,0.95,0.96,0.98,2,1.293592905
0.82,0.95,0.96,0.99,1,0.771211099
0.82,0.95,0.96,0.99,2,1.291942921
0.82,0.95,0.96,1,1,0.769787232
0.82,0.95,0.96,1,2,1.290536773
0.82,0.95,0.97,0.9,1,0.788850911
0.82,0.95,0.97,0.9,2,1.396769448
0.82,0.95,0.97,0.91,1,0.785105537
0.82,0.95,0.97,0.91,2,1.356483499
0.82,0.95,0.97,0.92,1,0.782562247
0.82,0.95,0.97,0.92,2,1.332189908
0.82,0.95,0.97,0.93,1,0.780637544
0.82,0.95,0.97,0.93,2,1.316906634
0.82,0.95,0.97,0.94,1,0.778849416
0.82,0.95,0.97,0.94,2,1.307884843
0.82,0.95,0.97,0.95,1,0.777154468
0.82,0.95,0.97,0.95,2,1.302259837
0.82,0.95,0.97,0.96,1,0.775519878
0.82,0.95,0.97,0.96,2,1.298521533
0.82,0.95,0.97,0.97,1,0.774046879
0.82,0.95,0.97,0.97,2,1.29563505
0.82,0.95,0.97,0.98,1,0.772591489
0.82,0.95,0.97,0.98,2,1.293482269
0.82,0.95,0.97,0.99,1,0.771128602
0.82,0.95,0.97,0.99,2,1.291841126
0.82,0.95,0.97,1,1,0.769705812
0.82,0.95,0.97,1,2,1.290438426
0.82,0.95,0.98,0.9,1,0.788691502
0.82,0.95,0.98,0.9,2,1.396212682
0.82,0.95,0.98,0.91,1,0.784966029
0.82,0.95,0.98,0.91,2,1.356088211
0.82,0.95,0.98,0.92,1,0.782443642
0.82,0.95,0.98,0.92,2,1.33189619
0.82,0.95,0.98,0.93,1,0.780529949
0.82,0.95,0.98,0.93,2,1.316680382
0.82,0.95,0.98,0.94,1,0.778750629
0.82,0.95,0.98,0.94,2,1.307719002
0.82,0.95,0.98,0.95,1,0.777062536
0.82,0.95,0.98,0.95,2,1.302119841
0.82,0.95,0.98,0.96,1,0.775433081
0.82,0.95,0.98,0.96,2,1.298398621
0.82,0.95,0.98,0.97,1,0.773963751
0.82,0.95,0.98,0.97,2,1.295523344
0.82,0.95,0.98,0.98,1,0.772510844
0.82,0.95,0.98,0.98,2,1.293377897
0.82,0.95,0.98,0.99,1,0.771049538
0.82,0.95,0.98,0.99,2,1.291744941
0.82,0.95,0.98,1,1,0.769627684
0.82,0.95,0.98,1,2,1.290345357
0.82,0.95,0.99,0.9,1,0.788540981
0.82,0.95,0.99,0.9,2,1.395695438
0.82,0.95,0.99,0.91,1,0.784834129
0.82,0.95,0.99,0.91,2,1.355720234
0.82,0.95,0.99,0.92,1,0.782331289
0.82,0.95,0.99,0.92,2,1.331622206
0.82,0.95,0.99,0.93,1,0.780427844
0.82,0.95,0.99,0.93,2,1.316468954
0.82,0.95,0.99,0.94,1,0.778656713
0.82,0.95,0.99,0.94,2,1.307563801
0.82,0.95,0.99,0.95,1,0.776974972
0.82,0.95,0.99,0.95,2,1.301988552
0.82,0.95,0.99,0.96,1,0.775350248
0.82,0.95,0.99,0.96,2,1.298283095
0.82,0.95,0.99,0.97,1,0.773884269
0.82,0.95,0.99,0.97,2,1.29541811
0.82,0.95,0.99,0.98,1,0.772433604
0.82,0.95,0.99,0.98,2,1.293279361
0.82,0.95,0.99,0.99,1,0.7709737
0.82,0.95,0.99,0.99,2,1.291653977
0.82,0.95,0.99,1,1,0.769552651
0.82,0.95,0.99,1,2,1.290257202
0.82,0.95,1,0.9,1,0.788398708
0.82,0.95,1,0.9,2,1.395214154
0.82,0.95,1,0.91,1,0.784709302
0.82,0.95,1,0.91,2,1.355377201
0.82,0.95,1,0.92,1,0.782224746
0.82,0.95,1,0.92,2,1.33136631
0.82,0.95,1,0.93,1,0.780330853
0.82,0.95,1,0.93,2,1.316271161
0.82,0.95,1,0.94,1,0.778567341
0.82,0.95,1,0.94,2,1.307418445
0.82,0.95,1,0.95,1,0.776891491
0.82,0.95,1,0.95,2,1.30186534
0.82,0.95,1,0.96,1,0.775271127
0.82,0.95,1,0.96,2,1.298174431
0.82,0.95,1,0.97,1,0.773808208
0.82,0.95,1,0.97,2,1.295318898
0.82,0.95,1,0.98,1,0.77235956
0.82,0.95,1,0.98,2,1.29318626
0.82,0.95,1,0.99,1,0.770900892
0.82,0.95,1,0.99,2,1.291567869
0.82,0.95,1,1,1,0.769480528
0.82,0.95,1,1,2,1.290173624
0.82,0.96,0.9,0.9,1,0.788596922
0.82,0.96,0.9,0.9,2,1.390495689
0.82,0.96,0.9,0.91,1,0.785117608
0.82,0.96,0.9,0.91,2,1.352153307
0.82,0.96,0.9,0.92,1,0.782903091
0.82,0.96,0.9,0.92,2,1.328776572
0.82,0.96,0.9,0.93,1,0.780971194
0.82,0.96,0.9,0.93,2,1.314717071
0.82,0.96,0.9,0.94,1,0.779173151
0.82,0.96,0.9,0.94,2,1.306549073
0.82,0.96,0.9,0.95,1,0.777465257
0.82,0.96,0.9,0.95,2,1.301326181
0.82,0.96,0.9,0.96,1,0.775826069
0.82,0.96,0.9,0.96,2,1.297748123
0.82,0.96,0.9,0.97,1,0.774334375
0.82,0.96,0.9,0.97,2,1.295113872
0.82,0.96,0.9,0.98,1,0.772860164
0.82,0.96,0.9,0.98,2,1.293469489
0.82,0.96,0.9,0.99,1,0.771414014
0.82,0.96,0.9,0.99,2,1.291990858
0.82,0.96,0.9,1,1,0.769983963
0.82,0.96,0.9,1,2,1.290617459
0.82,0.96,0.91,0.9,1,0.788366938
0.82,0.96,0.91,0.9,2,1.389608177
0.82,0.96,0.91,0.91,1,0.784927675
0.82,0.96,0.91,0.91,2,1.351537918
0.82,0.96,0.91,0.92,1,0.782734309
0.82,0.96,0.91,0.92,2,1.328330325
0.82,0.96,0.91,0.93,1,0.780819443
0.82,0.96,0.91,0.93,2,1.314413307
0.82,0.96,0.91,0.94,1,0.779034974
0.82,0.96,0.91,0.94,2,1.306307698
0.82,0.96,0.91,0.95,1,0.777337695
0.82,0.96,0.91,0.95,2,1.301125938
0.82,0.96,0.91,0.96,1,0.775706582
0.82,0.96,0.91,0.96,2,1.297575067
0.82,0.96,0.91,0.97,1,0.774220805
0.82,0.96,0.91,0.97,2,1.294961494
0.82,0.96,0.91,0.98,1,0.772750739
0.82,0.96,0.91,0.98,2,1.293330241
0.82,0.96,0.91,0.99,1,0.771307343
0.82,0.96,0.91,0.99,2,1.291859032
0.82,0.96,0.91,1,1,0.769879015
0.82,0.96,0.91,1,2,1.290490629
0.82,0.96,0.92,0.9,1,0.788150289
0.82,0.96,0.92,0.9,2,1.388789618
0.82,0.96,0.92,0.91,1,0.784748556
0.82,0.96,0.92,0.91,2,1.350967913
0.82,0.96,0.92,0.92,1,0.782574822
0.82,0.96,0.92,0.92,2,1.327915398
0.82,0.96,0.92,0.93,1,0.780675788
0.82,0.96,0.92,0.93,2,1.314129484
0.82,0.96,0.92,0.94,1,0.778903939
0.82,0.96,0.92,0.94,2,1.306081524
0.82,0.96,0.92,0.95,1,0.77721652
0.82,0.96,0.92,0.95,2,1.300937854
0.82,0.96,0.92,0.96,1,0.775592886
0.82,0.96,0.92,0.96,2,1.297412178
0.82,0.96,0.92,0.97,1,0.774112565
0.82,0.96,0.92,0.97,2,1.29481966
0.82,0.96,0.92,0.98,1,0.772646296
0.82,0.96,0.92,0.98,2,1.293198762
0.82,0.96,0.92,0.99,1,0.771205401
0.82,0.96,0.92,0.99,2,1.291734385
0.82,0.96,0.92,1,1,0.769778618
0.82,0.96,0.92,1,2,1.29037056
0.82,0.96,0.93,0.9,1,0.787946157
0.82,0.96,0.93,0.9,2,1.388033854
0.82,0.96,0.93,0.91,1,0.784579593
0.82,0.96,0.93,0.91,2,1.350439564
0.82,0.96,0.93,0.92,1,0.782424082
0.82,0.96,0.93,0.92,2,1.327529406
0.82,0.96,0.93,0.93,1,0.780539762
0.82,0.96,0.93,0.93,2,1.313864293
0.82,0.96,0.93,0.94,1,0.778779642
0.82,0.96,0.93,0.94,2,1.305869613
0.82,0.96,0.93,0.95,1,0.777101372
0.82,0.96,0.93,0.95,2,1.300761208
0.82,0.96,0.93,0.96,1,0.775484655
0.82,0.96,0.93,0.96,2,1.297258865
0.82,0.96,0.93,0.97,1,0.774009354
0.82,0.96,0.93,0.97,2,1.294685943
0.82,0.96,0.93,0.98,1,0.772546553
0.82,0.96,0.93,0.98,2,1.293074596
0.82,0.96,0.93,0.99,1,0.771107918
0.82,0.96,0.93,0.99,2,1.291616496
0.82,0.96,0.93,1,1,0.76968251
0.82,0.96,0.93,1,2,1.290256855
0.82,0.96,0.94,0.9,1,0.787753752
0.82,0.96,0.94,0.9,2,1.387335264
0.82,0.96,0.94,0.91,1,0.78442015
0.82,0.96,0.94,0.91,2,1.349949417
0.82,0.96,0.94,0.92,1,0.782281559
0.82,0.96,0.94,0.92,2,1.327170116
0.82,0.96,0.94,0.93,1,0.780410913
0.82,0.96,0.94,0.93,2,1.313616482
0.82,0.96,0.94,0.94,1,0.778661689
0.82,0.96,0.94,0.94,2,1.30567106
0.82,0.96,0.94,0.95,1,0.776991904
0.82,0.96,0.94,0.95,2,1.300595303
0.82,0.96,0.94,0.96,1,0.775381576
0.82,0.96,0.94,0.96,2,1.297114557
0.82,0.96,0.94,0.97,1,0.773910885
0.82,0.96,0.94,0.97,2,1.294559855
0.82,0.96,0.94,0.98,1,0.77245124
0.82,0.96,0.94,0.98,2,1.292957303
0.82,0.96,0.94,0.99,1,0.77101464
0.82,0.96,0.94,0.99,2,1.291504957
0.82,0.96,0.94,1,1,0.769590447
0.82,0.96,0.94,1,2,1.29014913
0.82,0.96,0.95,0.9,1,0.787572313
0.82,0.96,0.95,0.9,2,1.386688724
0.82,0.96,0.95,0.91,1,0.784269615
0.82,0.96,0.95,0.91,2,1.349494283
0.82,0.96,0.95,0.92,1,0.78214674
0.82,0.96,0.95,0.92,2,1.326835445
0.82,0.96,0.95,0.93,1,0.780288803
0.82,0.96,0.95,0.93,2,1.313384855
0.82,0.96,0.95,0.94,1,0.778549703
0.82,0.96,0.95,0.94,2,1.305484996
0.82,0.96,0.95,0.95,1,0.776887781
0.82,0.96,0.95,0.95,2,1.300439465
0.82,0.96,0.95,0.96,1,0.775283349
0.82,0.96,0.95,0.96,2,1.296978699
0.82,0.96,0.95,0.97,1,0.773816881
0.82,0.96,0.95,0.97,2,1.294440922
0.82,0.96,0.95,0.98,1,0.772360102
0.82,0.96,0.95,0.98,2,1.292846458
0.82,0.96,0.95,0.99,1,0.770925322
0.82,0.96,0.95,0.99,2,1.291399377
0.82,0.96,0.95,1,1,0.769502193
0.82,0.96,0.95,1,2,1.290047018
0.82,0.96,0.96,0.9,1,0.787401115
0.82,0.96,0.96,0.9,2,1.386089573
0.82,0.96,0.96,0.91,1,0.7841274
0.82,0.96,0.96,0.91,2,1.349071226
0.82,0.96,0.96,0.92,1,0.782019132
0.82,0.96,0.96,0.92,2,1.326523451
0.82,0.96,0.96,0.93,1,0.780173014
0.82,0.96,0.96,0.93,2,1.313168274
0.82,0.96,0.96,0.94,1,0.778443319
0.82,0.96,0.96,0.94,2,1.305310589
0.82,0.96,0.96,0.95,1,0.776788683
0.82,0.96,0.96,0.95,2,1.300293048
0.82,0.96,0.96,0.96,1,0.775189685
0.82,0.96,0.96,0.96,2,1.296850762
0.82,0.96,0.96,0.97,1,0.773727081
0.82,0.96,0.96,0.97,2,1.294328692
0.82,0.96,0.96,0.98,1,0.772272893
0.82,0.96,0.96,0.98,2,1.292741656
0.82,0.96,0.96,0.99,1,0.770839734
0.82,0.96,0.96,0.99,2,1.291299382
0.82,0.96,0.96,1,1,0.769417528
0.82,0.96,0.96,1,2,1.289950167
0.82,0.96,0.97,0.9,1,0.787239468
0.82,0.96,0.97,0.9,2,1.385533574
0.82,0.96,0.97,0.91,1,0.783992945
0.82,0.96,0.97,0.91,2,1.348677541
0.82,0.96,0.97,0.92,1,0.781898263
0.82,0.96,0.97,0.92,2,1.326232329
0.82,0.96,0.97,0.93,1,0.780063142
0.82,0.96,0.97,0.93,2,1.312965666
0.82,0.96,0.97,0.94,1,0.77834219
0.82,0.96,0.97,0.94,2,1.305147047
0.82,0.96,0.97,0.95,1,0.776694304
0.82,0.96,0.97,0.95,2,1.300155435
0.82,0.96,0.97,0.96,1,0.775100311
0.82,0.96,0.97,0.96,2,1.296730239
0.82,0.96,0.97,0.97,1,0.773641233
0.82,0.96,0.97,0.97,2,1.294222731
0.82,0.96,0.97,0.98,1,0.772189382
0.82,0.96,0.97,0.98,2,1.292642509
0.82,0.96,0.97,0.99,1,0.770757657
0.82,0.96,0.97,0.99,2,1.291204613
0.82,0.96,0.97,1,1,0.769336242
0.82,0.96,0.97,1,2,1.289858241
0.82,0.96,0.98,0.9,1,0.787086717
0.82,0.96,0.98,0.9,2,1.385016882
0.82,0.96,0.98,0.91,1,0.783865714
0.82,0.96,0.98,0.91,2,1.348310749
0.82,0.96,0.98,0.92,1,0.781783683
0.82,0.96,0.98,0.92,2,1.325960408
0.82,0.96,0.98,0.93,1,0.779958805
0.82,0.96,0.98,0.93,2,1.312776015
0.82,0.96,0.98,0.94,1,0.778245982
0.82,0.96,0.98,0.94,2,1.304993618
0.82,0.96,0.98,0.95,1,0.77660435
0.82,0.96,0.98,0.95,2,1.300026038
0.82,0.96,0.98,0.96,1,0.775014966
0.82,0.96,0.98,0.96,2,1.296616644
0.82,0.96,0.98,0.97,1,0.773559102
0.82,0.96,0.98,0.97,2,1.294122625
0.82,0.96,0.98,0.98,1,0.772109349
0.82,0.96,0.98,0.98,2,1.292548646
0.82,0.96,0.98,0.99,1,0.770678885
0.82,0.96,0.98,0.99,2,1.291114734
0.82,0.96,0.98,1,1,0.769258138
0.82,0.96,0.98,1,2,1.289770923
0.82,0.96,0.99,0.9,1,0.786942244
0.82,0.96,0.99,0.9,2,1.384536014
0.82,0.96,0.99,0.91,1,0.783745204
0.82,0.96,0.99,0.91,2,1.347968579
0.82,0.96,0.99,0.92,1,0.781674968
0.82,0.96,0.99,0.92,2,1.325706145
0.82,0.96,0.99,0.93,1,0.779859638
0.82,0.96,0.99,0.93,2,1.312598373
0.82,0.96,0.99,0.94,1,0.77815438
0.82,0.96,0.99,0.94,2,1.304849594
0.82,0.96,0.99,0.95,1,0.776518546
0.82,0.96,0.99,0.95,2,1.2999043
0.82,0.96,0.99,0.96,1,0.774933402
0.82,0.96,0.99,0.96,2,1.296509521
0.82,0.96,0.99,0.97,1,0.773480463
0.82,0.96,0.99,0.97,2,1.294027983
0.82,0.96,0.99,0.98,1,0.772032588
0.82,0.96,0.99,0.98,2,1.29245972
0.82,0.96,0.99,0.99,1,0.770603223
0.82,0.96,0.99,0.99,2,1.291029423
0.82,0.96,0.99,1,1,0.769183031
0.82,0.96,0.99,1,2,1.289687914
0.82,0.96,1,0.9,1,0.786805469
0.82,0.96,1,0.9,2,1.384087818
0.82,0.96,1,0.91,1,0.783630939
0.82,0.96,1,0.91,2,1.347648958
0.82,0.96,1,0.92,1,0.781571713
0.82,0.96,1,0.92,2,1.325468114
0.82,0.96,1,0.93,1,0.779765294
0.82,0.96,1,0.93,2,1.312431849
0.82,0.96,1,0.94,1,0.778067085
0.82,0.96,1,0.94,2,1.304714308
0.82,0.96,1,0.95,1,0.776436627
0.82,0.96,1,0.95,2,1.299789698
0.82,0.96,1,0.96,1,0.774855385
0.82,0.96,1,0.96,2,1.296408436
0.82,0.96,1,0.97,1,0.773405104
0.82,0.96,1,0.97,2,1.293938438
0.82,0.96,1,0.98,1,0.771958903
0.82,0.96,1,0.98,2,1.292375401
0.82,0.96,1,0.99,1,0.770530488
0.82,0.96,1,0.99,2,1.290948378
0.82,0.96,1,1,1,0.769110745
0.82,0.96,1,1,2,1.289608931
0.82,0.97,0.9,0.9,1,0.787371003
0.82,0.97,0.9,0.9,2,1.382335863
0.82,0.97,0.9,0.91,1,0.78440431
0.82,0.97,0.9,0.91,2,1.346464559
0.82,0.97,0.9,0.92,1,0.782372046
0.82,0.97,0.9,0.92,2,1.324680966
0.82,0.97,0.9,0.93,1,0.780509014
0.82,0.97,0.9,0.93,2,1.312165727
0.82,0.97,0.9,0.94,1,0.77876124
0.82,0.97,0.9,0.94,2,1.304631854
0.82,0.97,0.9,0.95,1,0.777086
0.82,0.97,0.9,0.95,2,1.299924995
0.82,0.97,0.9,0.96,1,0.775473891
0.82,0.97,0.9,0.96,2,1.296611899
0.82,0.97,0.9,0.97,1,0.773983519
0.82,0.97,0.9,0.97,2,1.294589738
0.82,0.97,0.9,0.98,1,0.772521971
0.82,0.97,0.9,0.98,2,1.293036583
0.82,0.97,0.9,0.99,1,0.771077312
0.82,0.97,0.9,0.99,2,1.29160704
0.82,0.97,0.9,1,1,0.769636089
0.82,0.97,0.9,1,2,1.290265358
0.82,0.97,0.91,0.9,1,0.787150997
0.82,0.97,0.91,0.9,2,1.38150681
0.82,0.97,0.91,0.91,1,0.784221889
0.82,0.97,0.91,0.91,2,1.345891193
0.82,0.97,0.91,0.92,1,0.782209347
0.82,0.97,0.91,0.92,2,1.324266763
0.82,0.97,0.91,0.93,1,0.780362117
0.82,0.97,0.91,0.93,2,1.311884261
0.82,0.97,0.91,0.94,1,0.778626853
0.82,0.97,0.91,0.94,2,1.30440857
0.82,0.97,0.91,0.95,1,0.776961313
0.82,0.97,0.91,0.95,2,1.299739917
0.82,0.97,0.91,0.96,1,0.7753565
0.82,0.97,0.91,0.96,2,1.296451955
0.82,0.97,0.91,0.97,1,0.773871397
0.82,0.97,0.91,0.97,2,1.294450224
0.82,0.97,0.91,0.98,1,0.772413464
0.82,0.97,0.91,0.98,2,1.292907185
0.82,0.97,0.91,0.99,1,0.770971131
0.82,0.97,0.91,0.99,2,1.291484167
0.82,0.97,0.91,1,1,0.76953128
0.82,0.97,0.91,1,2,1.29014672
0.82,0.97,0.92,0.9,1,0.786943419
0.82,0.97,0.92,0.9,2,1.380740732
0.82,0.97,0.92,0.91,1,0.784049582
0.82,0.97,0.92,0.91,2,1.345358986
0.82,0.97,0.92,0.92,1,0.782055378
0.82,0.97,0.92,0.92,2,1.323880727
0.82,0.97,0.92,0.93,1,0.780222861
0.82,0.97,0.92,0.93,2,1.311620526
0.82,0.97,0.92,0.94,1,0.778499244
0.82,0.97,0.92,0.94,2,1.304198716
0.82,0.97,0.92,0.95,1,0.776842718
0.82,0.97,0.92,0.95,2,1.299565527
0.82,0.97,0.92,0.96,1,0.775244659
