"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"Error"
1;0,97;0,89;0,99;8;0;0,145938457386143
1;0,89;1;1;8;0;0,145944919642562
1;0,96;0,89;0,99;8;0;0,145949231698639
1;0,98;0,86;1;8;0;0,145953036636401
1;0,96;0,93;0,99;8;0;0,145954935986479
1;0,97;0,91;0,99;8;0;0,145955938087626
1;1;0,95;1;8;0;0,145957121596513
1;0,99;0,88;0,99;8;0;0,145963743461097
1;0,97;0,87;1;8;0;0,145964546079676
1;0,99;0,85;1;8;0;0,145965241956734
1;0,99;0,89;0,99;8;0;0,145975557398377
1;1;0,85;0,99;8;0;0,145975582583267
1;0,97;0,88;0,99;8;0;0,145976213741807
1;0,94;0,92;1;8;0;0,145976666216902
1;0,98;0,89;0,99;8;0;0,145980729990701
1;0,99;0,87;0,99;8;0;0,145981635936855
1;0,98;0,96;1;8;0;0,145984536337091
1;0,98;0,88;0,99;8;0;0,145989926902702
1;1;0,84;1;8;0;0,145993887577375
1;0,92;0,94;0,99;8;0;0,145997878503145
1;0,98;0,9;0,99;8;0;0,146003255469392
1;0,95;0,9;0,99;8;0;0,146007237451272
1;0,99;0,86;0,99;8;0;0,146026256811198
1;0,98;0,87;0,99;8;0;0,14602764384757
1;0,95;0,9;1;8;0;0,146042838766647
1;0,97;0,87;0,99;8;0;0,146049721536695
1;0,94;0,91;0,99;8;0;0,146059525552315
1;1;0,84;0,99;8;0;0,146068203007405
1;0,92;0,95;1;8;0;0,146070666134433
1;0,97;0,92;0,99;8;0;0,146079502105655
1;0,96;0,88;0,99;8;0;0,146088044441685
1;0,99;0,9;0,99;8;0;0,146089573885454
1;0,98;0,86;0,99;8;0;0,14609076267321
1;0,99;0,85;0,99;8;0;0,146094724380819
1;0,9;0,97;0,99;8;0;0,146100270344533
1;0,96;0,99;1;8;0;0,146102264395213
1;0,96;0,88;1;8;0;0,146106291518588
1;0,94;0,99;0,99;8;0;0,146111986560394
1;1;0,9;0,99;8;0;0,146116397719142
1;0,93;0,92;0,99;8;0;0,146127686065411
1;0,95;0,96;0,99;8;0;0,146140416184577
1;0,98;0,91;0,99;8;0;0,146148616994366
1;0,96;0,94;0,99;8;0;0,146167399301926
1;0,95;0,89;0,99;8;0;0,146169942411645
1;0,88;1;0,99;8;0;0,146203002621276
1;0,93;0,93;1;8;0;0,146205663804832
1;0,97;0,86;0,99;8;0;0,146206503481814
1;0,9;0,98;1;8;0;0,14621535464945
1;0,91;0,95;0,99;8;0;0,14622437979739
1;0,98;0,85;0,99;8;0;0,146231186218233
1;1;0,83;0,99;8;0;0,146231301173639
1;0,98;0,85;1;8;0;0,14623535958159
1;0,99;0,84;0,99;8;0;0,146241803183262
1;0,99;0,84;1;8;0;0,146250250987641
1;0,96;0,87;0,99;8;0;0,146251092632201
1;0,97;0,86;1;8;0;0,146256089379953
1;0,94;0,9;0,99;8;0;0,146258521988075
1;0,89;0,98;0,99;8;0;0,146269961867364
1;1;0,83;1;8;0;0,146281104764665
1;0,92;0,93;0,99;8;0;0,14629195651003
1;0,94;0,91;1;8;0;0,146301006203604
1;0,99;0,91;0,99;8;0;0,146305036134861
1;0,97;0,93;0,99;8;0;0,14632238107105
1;0,94;1;0,99;8;0;0,146333992319295
1;0,95;0,89;1;8;0;0,146350467311859
1;1;0,91;0,99;8;0;0,146355214227924
1;0,95;0,88;0,99;8;0;0,146361520300138
1;0,99;0,96;1;8;0;0,146378474419373
1;0,98;0,92;0,99;8;0;0,146385358722325
1;0,97;0,85;0,99;8;0;0,146388267428644
1;0,93;0,91;0,99;8;0;0,146401674113856
1;0,96;0,87;1;8;0;0,146404620595157
1;0,91;0,96;1;8;0;0,146408217318246
1;0,98;0,84;0,99;8;0;0,146409516696616
1;0,95;0,97;0,99;8;0;0,146425616222919
1;0,9;0,96;0,99;8;0;0,146433247411427
1;0,99;0,83;0,99;8;0;0,146436050026285
1;0,89;0,99;1;8;0;0,146439509517462
1;0,96;0,95;0,99;8;0;0,14645344761208
1;1;0,82;0,99;8;0;0,146455225389789
1;0,96;0,86;0,99;8;0;0,146460072815126
1;0,92;0,94;1;8;0;0,146501386781631
1;0,94;0,89;0,99;8;0;0,146515629371489
1;0,97;0,98;1;8;0;0,146525965938113
1;0,98;0,84;1;8;0;0,146537251269626
1;0,91;0,94;0,99;8;0;0,146543487789685
1;1;0,96;1;8;0;0,14655922123384
1;0,88;0,99;0,99;8;0;0,146561897624441
1;0,97;0,85;1;8;0;0,146563240773287
1;0,99;0,83;1;8;0;0,146564961630993
1;0,99;0,92;0,99;8;0;0,146577712659651
1;0,93;0,92;1;8;0;0,146587080774161
1;0,92;0,92;0,99;8;0;0,146590589548168
1;0,95;0,87;0,99;8;0;0,146607315725502
1;0,98;0,97;1;8;0;0,146607578010186
1;0,89;0,97;0,99;8;0;0,146619146602747
1;1;0,82;1;8;0;0,146621540328153
1;0,97;0,84;0,99;8;0;0,146622835359766
1;0,97;0,94;0,99;8;0;0,146627522556267
1;0,98;0,83;0,99;8;0;0,146641754549635
1;0,94;0,9;1;8;0;0,146643529942545
1;0,96;1;1;8;0;0,146650194686153
1;1;0,92;0,99;8;0;0,146650938226699
1;0,99;0,82;0,99;8;0;0,146667715285541
1;0,95;0,88;1;8;0;0,146676461354493
1;0,93;0,9;0,99;8;0;0,146678994436353
1;0,98;0,93;0,99;8;0;0,146682912538879
1;1;0,81;0,99;8;0;0,146687390106931
1;0,96;0,85;0,99;8;0;0,146699605163043
1;0,9;0,97;1;8;0;0,146705565634447
1;0,96;0,86;1;8;0;0,146739324177237
1;0,95;0,98;0,99;8;0;0,146752091200217
1;0,88;1;1;8;0;0,146757269636347
1;0,9;0,95;0,99;8;0;0,146774166485793
1;0,94;0,88;0,99;8;0;0,14677556568999
1;0,96;0,96;0,99;8;0;0,146799509279162
1;0,95;0,86;0,99;8;0;0,146855501755463
1;0,97;0,83;0,99;8;0;0,146859493460832
1;0,91;0,93;0,99;8;0;0,146867093346956
1;0,98;0,82;0,99;8;0;0,146876105530189
1;0,91;1;1;7;0;0,146879100179954
1;0,98;0,83;1;8;0;0,146885196025136
1;0,91;0,95;1;8;0;0,146885320034574
1;0,9;1;1;7;0;0,146890740566752
1;0,92;0,91;0,99;8;0;0,146891480528356
1;0,87;1;0,99;8;0;0,146895980798278
1;0,99;0,81;0,99;8;0;0,146901346976496
1;0,99;0,82;1;8;0;0,14690976876184
1;0,99;0,93;0,99;8;0;0,14691155512272
1;0,97;0,84;1;8;0;0,146914940332096
1;1;0,8;0,99;8;0;0,146921231246368
1;0,88;0,98;0,99;8;0;0,146923931722693
1;0,96;0,84;0,99;8;0;0,146940968287177
1;0,89;0,98;1;8;0;0,146944597340157
1;0,92;0,93;1;8;0;0,146951174920086
1;0,91;0,99;1;7;0;0,146956975419002
1;0,93;0,89;0,99;8;0;0,14695783199931
1;1;0,81;1;8;0;0,14696347438679
1;0,89;0,96;0,99;8;0;0,146976944727321
1;0,97;0,95;0,99;8;0;0,146997680420644
1;0,93;0,91;1;8;0;0,147005114445441
1;1;0,93;0,99;8;0;0,147009923702644
1;0,99;0,97;1;8;0;0,147028834001814
1;0,94;0,89;1;8;0;0,147034280680369
1;0,94;0,87;0,99;8;0;0,147036869749296
1;0,91;0,98;1;7;0;0,147040134669432
1;0,98;0,94;0,99;8;0;0,14704502875339
1;0,9;0,99;1;7;0;0,147046394712873
1;0,95;0,87;1;8;0;0,147047265900217
1;0,92;1;1;7;0;0,147070251999192
1;0,92;0,99;1;7;0;0,147075470890103
1;0,92;0,98;1;7;0;0,147083982290187
1;0,96;0,85;1;8;0;0,14709614650906
1;0,97;0,82;0,99;8;0;0,147097342451667
1;0,95;0,85;0,99;8;0;0,147104877820608
1;0,95;0,99;0,99;8;0;0,147106678620949
1;0,92;0,97;1;7;0;0,14710962636725
1;0,98;0,81;0,99;8;0;0,147111738198365
1;0,9;0,94;0,99;8;0;0,147120273685546
1;0,89;1;1;7;0;0,147130272252338
1;0,99;0,8;0,99;8;0;0,14713615694499
1;0,91;0,97;1;7;0;0,147142937942507
1;0,92;0,96;1;7;0;0,14716074515873
1;0,97;0,99;1;8;0;0,147176465112837
1;0,96;0,83;0,99;8;0;0,147183164985407
1;0,91;0,92;0,99;8;0;0,147192258270169
1;0,92;0,9;0,99;8;0;0,147192349428354
1;0,96;0,97;0,99;8;0;0,147202753049436
1;0,9;0,96;1;8;0;0,147206261175955
1;1;0,97;1;8;0;0,147214025552991
1;0,98;0,82;1;8;0;0,147228333691589
1;0,93;0,88;0,99;8;0;0,147236459798759
1;0,92;0,95;1;7;0;0,147241095227867
1;0,9;0,98;1;7;0;0,147245173166225
