"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"Error"
1;0,81;0,95;0,89;7;0;0,174477676427669
1;0,86;0,97;0,83;7;0;0,174477710502875
1;0,82;0,95;0,8;7;0;0,174477848727483
1;0,91;0,98;0,96;7;0;0,174478974210705
1;0,88;0,97;0,88;7;0;0,174479436378808
1;0,87;0,97;0,82;7;0;0,17447958549943
1;0,83;0,98;0,94;7;0;0,174479611274371
1;0,85;0,97;0,87;7;0;0,174484177216364
1;0,9;0,94;0,8;7;0;0,174484253406911
1;0,82;1;0,95;7;0;0,174485538659564
1;0,91;0,92;0,81;7;0;0,174487457383826
1;0,88;0,83;0,95;7;1;0,174487854406024
1;0,86;0,84;0,95;7;1;0,174491237363495
1;0,82;0,96;0,92;7;0;0,174492936630497
1;0,94;0,81;0,89;7;0;0,174492969607717
1;0,94;0,8;0,84;7;0;0,174493540320539
1;0,94;0,82;0,92;7;0;0,174493658819396
1;0,92;0,9;0,9;7;0;0,174493773566864
1;0,89;0,96;0,86;7;0;0,174493788525461
1;0,93;0,86;0,87;7;0;0,174493815397343
1;0,83;0,96;0,86;7;0;0,174495207792098
1;0,81;0,95;0,88;7;0;0,174495885784869
1;0,8;0,95;0,92;7;0;0,174501101842762
1;0,96;0,81;0,95;7;0;0,174501763557748
1;0,83;0,97;0,93;7;0;0,174503709599842
1;0,86;0,97;0,82;7;0;0,174503718778481
1;0,88;0,97;0,87;7;0;0,174503879393289
1;0,85;0,97;0,86;7;0;0,174506393965901
1;0,89;1;0,97;8;0;0,174506684439282
1;0,87;0,97;0,81;7;0;0,174507328193296
1;0,94;0,83;0,93;7;0;0,174509814530351
1;0,81;0,95;0,87;7;0;0,174513098959933
1;0,83;0,96;0,85;7;0;0,174514691948022
1;0,91;0,92;0,8;7;0;0,174515460588707
1;0,85;0,89;0,96;7;1;0,174515548162631
1;0,94;0,81;0,88;7;0;0,174516072403447
1;0,93;0,86;0,86;7;0;0,174516636118761
1;0,94;0,8;0,83;7;0;0,17451760951481
1;0,89;0,96;0,85;7;0;0,174519119967063
1;0,84;0,97;0,91;7;0;0,174519367456315
1;0,94;0,84;0,97;7;1;0,174521350092841
1;0,92;0,9;0,89;7;0;0,174521642543892
1;0,95;0,84;0,95;7;0;0,174522829593089
1;0,86;0,98;0,92;7;0;0,174524595747133
1;0,96;0,84;0,97;8;0;0,174525098114276
1;0,88;0,97;0,86;7;0;0,174528606035086
1;0,85;0,97;0,85;7;0;0,174529225982979
1;0,96;0,86;0,96;7;0;0,174530004921646
1;0,86;0,97;0,81;7;0;0,174530429530201
1;0,81;0,95;0,86;7;0;0,174530482290717
1;0,87;0,98;0,92;7;0;0,17453072366673
1;1;0,87;0,97;7;0;0,174531473795228
1;0,92;0,91;0,97;7;1;0,174534011331293
1;0,83;0,96;0,84;7;0;0,174534748061177
1;0,91;0,94;0,94;7;0;0,17453502807795
1;0,87;0,97;0,8;7;0;0,174535760978546
1;0,85;0,84;0,95;7;1;0,174537500692339
1;0,94;0,81;0,87;7;0;0,174538294270457
1;0,93;0,86;0,85;7;0;0,174540112224495
1;0,94;0,8;0,82;7;0;0,174542377285406
1;0,89;0,96;0,84;7;0;0,174545288168053
1;0,92;0,9;0,88;7;0;0,174545671364169
1;0,85;0,9;0,96;8;1;0,174546284642263
1;0,81;0,95;0,85;7;0;0,174548454927546
1;0,9;0,95;0,92;7;0;0,174550883938932
1;0,85;0,97;0,84;7;0;0,174552792427613
1;0,86;0,84;0,95;8;1;0,174553235561093
1;0,91;0,93;0,92;7;0;0,174553633715224
1;0,88;0,97;0,85;7;0;0,174554027867577
1;0,93;0,87;0,92;7;0;0,17455438892219
1;0,83;0,96;0,83;7;0;0,174555369759931
1;0,84;0,97;0,9;7;0;0,174556321603407
1;0,84;0,84;0,95;7;1;0,174556550304256
1;0,86;0,97;0,8;7;0;0,174557771806126
1;0,94;0,9;0,97;8;1;0,174557939824198
1;0,9;0,96;0,94;7;0;0,174557954142383
1;0,82;0,96;0,91;7;0;0,174558361310137
1;0,94;0,81;0,86;7;0;0,174560731689617
1;0,81;0,96;0,93;7;0;0,174561215835902
1;0,94;0,82;0,91;7;0;0,174562068191783
1;0,88;0,88;0,96;7;1;0,174563402736436
1;0,93;0,86;0,84;7;0;0,174564377535171
1;0,98;0,94;0,98;7;1;0,174564800732112
1;0,84;0,99;0,94;7;0;0,174565102310088
1;0,81;0,95;0,84;7;0;0,174567143061991
1;0,94;0,8;0,81;7;0;0,174567786925126
1;0,8;0,95;0,91;7;0;0,174568056761589
1;0,92;0,9;0,87;7;0;0,17456882569692
1;0,93;0,89;0,97;7;1;0,174570632343716
1;0,99;0,88;0,98;7;1;0,174571932304319
1;0,87;0,84;0,95;7;1;0,174571956356527
1;0,83;1;0,98;7;1;0,17457231554754
1;0,89;0,96;0,83;7;0;0,174572322285894
1;0,83;0,84;0,95;7;1;0,174574420083109
1;0,83;0,96;0,82;7;0;0,17457650117629
1;0,85;0,97;0,83;7;0;0,174577103232963
1;0,81;0,97;0,94;7;0;0,17457934497453
1;0,88;0,97;0,84;7;0;0,174580281731398
1;0,84;0,97;0,89;7;0;0,174582184864372
1;0,9;0,93;0,97;7;1;0,174583196516665
1;0,94;0,81;0,85;7;0;0,174583783777751
1;0,81;0,95;0,83;7;0;0,174586555748478
1;0,93;0,86;0,83;7;0;0,174589455645636
1;0,88;0,98;0,93;7;0;0,174590000290528
1;0,82;0,91;0,96;8;1;0,174590670997159
1;0,89;0,97;0,93;7;0;0,174591634412922
1;0,92;0,9;0,86;7;0;0,174592240693614
1;0,82;0,96;0,9;7;0;0,174593234457909
1;0,86;0,98;0,91;7;0;0,174593642845761
1;0,94;0,8;0,8;7;0;0,17459376641976
1;0,96;0,8;0,97;8;1;0,174595041623483
1;0,97;0,82;0,97;8;0;0,174596695689528
1;0,83;0,96;0,81;7;0;0,174598060709863
1;0,89;0,96;0,82;7;0;0,174600204853066
1;0,94;0,82;0,9;7;0;0,174600521324023
1;0,87;0,98;0,91;7;0;0,174600928019295
1;0,83;0,86;0,95;8;1;0,174601512984087
1;0,85;0,97;0,82;7;0;0,174602120904905
1;0,8;0,95;0,9;7;0;0,174602429446478
1;0,92;0,8;0,96;7;1;0,174602442762512
1;0,84;0,97;0,88;7;0;0,174604300602635
1;0,94;0,85;0,94;7;0;0,174605655092456
1;0,81;0,95;0,82;7;0;0,17460665218756
1;0,84;0,98;0,93;7;0;0,174607315458532
1;0,88;0,97;0,83;7;0;0,174607395153103
1;0,94;0,81;0,84;7;0;0,174607576535141
1;0,85;0,98;0,92;7;0;0,174610739083963
1;0,92;0,91;0,93;7;0;0,17461144153323
1;0,95;0,81;0,94;7;0;0,174612797141222
1;0,89;0,82;0,95;7;1;0,17461381716758
1;0,93;0,86;0,82;7;0;0,174615323273627
1;0,92;0,9;0,85;7;0;0,174616335509853
1;0,82;0,96;0,89;7;0;0,174616730441429
1;0,83;0,96;0,8;7;0;0,174619949704944
1;0,9;0,95;0,91;7;0;0,174622270415743
1;0,99;0,82;0,96;7;0;0,174623176901989
1;0,93;0,87;0,91;7;0;0,174624102078108
1;0,8;0,95;0,89;7;0;0,174624555409049
1;0,91;0,93;0,91;7;0;0,174624677289692
1;0,84;0,97;0,87;7;0;0,174625522909003
1;0,81;0,95;0,81;7;0;0,174627367212166
1;0,85;0,97;0,81;7;0;0,174627783509345
1;0,94;0,82;0,89;7;0;0,174627788324267
1;0,89;0,96;0,81;7;0;0,174628895349487
1;0,94;0,81;0,83;7;0;0,174632126797186
1;0,86;0,98;0,9;7;0;0,17463309577963
1;0,82;0,84;0,95;7;1;0,174633991777563
1;0,87;0,83;0,95;8;1;0,174634746602029
1;0,88;0,97;0,82;7;0;0,17463534923944
1;0,82;0,96;0,88;7;0;0,174636436420862
1;0,87;0,98;0,9;7;0;0,174641245272779
1;0,92;0,9;0,84;7;0;0,174641249523063
1;0,93;0,86;0,81;7;0;0,17464193385458
1;0,9;0,95;0,97;8;1;0,174642106739073
1;0,8;0,95;0,88;7;0;0,174642483263019
1;0,83;0,97;0,92;7;0;0,174646221898566
1;0,84;0,97;0,86;7;0;0,174646933692626
1;0,81;0,95;0,8;7;0;0,174648620914674
1;0,94;0,82;0,88;7;0;0,174651291628792
1;0,85;0,97;0,8;7;0;0,174654012878458
1;0,82;0,96;0,87;7;0;0,174655305650877
1;0,94;0,83;0,92;7;0;0,174655890190292
1;0,94;0,81;0,82;7;0;0,174657404662076
1;0,89;0,96;0,8;7;0;0,17465833854861
1;0,8;0,95;0,87;7;0;0,174659342344381
1;0,86;0,98;0,89;7;0;0,174661525680379
1;0,9;0,95;0,9;7;0;0,17466289026361
1;0,98;0,83;0,96;7;0;0,174663279160926
1;0,93;0,87;0,9;7;0;0,174663302240558
1;0,88;0,97;0,81;7;0;0,174664102019819
1;0,91;0,93;0,9;7;0;0,174664844796296
1;0,92;0,9;0,83;7;0;0,174667010893099
1;0,96;0,91;0,97;7;0;0,174668360019343
1;0,84;0,97;0,85;7;0;0,174668920181624
1;0,93;0,86;0,8;7;0;0,174669225966948
1;0,92;0,8;0,96;8;1;0,174669309374518
1;0,87;0,98;0,89;7;0;0,174670431406011
1;0,81;0,81;0,94;8;1;0,174671827991676
1;0,94;0,82;0,87;7;0;0,174673921736006
1;0,82;0,96;0,86;7;0;0,174674461889405
1;0,94;0,95;0,97;7;0;0,174674616461503
1;0,9;0,86;0,96;7;1;0,174675035832565
1;0,8;0,95;0,86;7;0;0,17467631897113
1;0,85;0,98;0,91;7;0;0,174678903649602
1;0,94;0,81;0,81;7;0;0,174683356757929
1;0,86;0,98;0,88;7;0;0,17468627688724
1;0,93;0,87;0,89;7;0;0,174691115128586
1;0,84;0,97;0,84;7;0;0,174691596653865
1;0,87;0,89;0,96;8;1;0,174691948902923
1;0,9;0,95;0,89;7;0;0,174692038051509
1;0,91;0,93;0,89;7;0;0,174693494859501
1;0,88;0,97;0,8;7;0;0,174693596700324
1;0,92;0,9;0,82;7;0;0,174693600720109
1;0,8;0,95;0,85;7;0;0,174693838103735
1;0,82;0,96;0,85;7;0;0,174694312055228
1;0,87;0,98;0,88;7;0;0,174695904821029
1;0,94;0,82;0,86;7;0;0,174696781396388
1;0,8;0,99;0,95;7;0;0,174698289988356
1;0,88;0,99;0,94;7;0;0,17470043260849
1;0,93;0,88;0,93;7;0;0,174702863147405
1;0,81;0,96;0,92;7;0;0,174706238141137
1;0,94;0,84;0,93;7;0;0,174706853847337
1;0,81;0,84;0,95;7;1;0,174707834800809
1;0,94;0,81;0,8;7;0;0,1747099145786
1;0,86;0,98;0,87;7;0;0,174710210358461
1;0,82;0,98;0,94;7;0;0,17471070684208
1;0,8;0,95;0,84;7;0;0,174712026303616
1;0,83;0,97;0,91;7;0;0,174712487075802
1;0,94;0,85;0,97;7;1;0,174714014500417
1;0,84;0,97;0,83;7;0;0,174714967374326
1;0,82;0,96;0,84;7;0;0,174714981925853
1;0,93;0,87;0,88;7;0;0,174715105547792
1;0,82;0,97;0,93;7;0;0,174716663319315
1;0,86;0,99;0,93;7;0;0,17471671414859
1;0,86;0,89;0,96;7;1;0,174716776645352
1;0,9;0,95;0,88;7;0;0,174717346149811
1;0,85;0,98;0,9;7;0;0,174717610694424
1;0,91;0,93;0,88;7;0;0,174718285188883
1;0,93;0,89;0,94;7;0;0,174718923794805
1;0,92;0,92;0,94;7;0;0,174719263529239
1;0,94;0,82;0,85;7;0;0,174720273636777
1;0,92;1;0,97;7;1;0,174720480294473
1;0,87;0,98;0,87;7;0;0,174720557210255
1;0,92;0,9;0,81;7;0;0,174720976924137
1;0,86;1;0,94;7;0;0,174721867218027
1;0,94;0,83;0,91;7;0;0,174724937279983
1;0,99;0,89;0,98;7;1;0,174725118520843
1;0,81;1;0,95;7;0;0,174728975735115
1;0,8;0,95;0,83;7;0;0,174730890981494
1;0,86;0,98;0,86;7;0;0,174734418558062
1;0,85;0,85;0,95;8;1;0,1747358929385
1;0,82;0,96;0,83;7;0;0,174736484667334
1;0,93;0,87;0,87;7;0;0,174738222043581
1;0,84;0,97;0,82;7;0;0,174738988604147
1;0,88;0,98;0,92;7;0;0,174739540765267
1;0,81;0,98;0,98;7;1;0,174739864239243
1;0,85;1;0,94;7;0;0,174741259305545
1;0,9;0,95;0,87;7;0;0,174741791083071
1;0,91;0,93;0,87;7;0;0,174742201956391
1;0,89;0,97;0,92;7;0;0,174742485520724
1;0,92;0,96;0,96;7;0;0,174743183857103
1;0,94;0,82;0,84;7;0;0,174744527621629
1;0,85;0,98;0,89;7;0;0,174745339182243
1;0,87;0,98;0,86;7;0;0,174745495125682
1;0,8;0,96;0,93;7;0;0,174748625879208
1;0,83;0,97;0,9;7;0;0,174748891693113
1;0,92;0,9;0,8;7;0;0,174749082746297
1;0,84;0,98;0,92;7;0;0,174750124556048
1;0,8;0,95;0,82;7;0;0,174750389041536
1;0,89;0,98;0,94;7;0;0,174755951866035
1;0,82;0,96;0,82;7;0;0,174758785198986
1;0,86;0,98;0,85;7;0;0,174759301785018
1;0,8;0,97;0,94;7;0;0,174759508522012
1;0,93;0,87;0,86;7;0;0,174761592605436
1;0,83;0,99;0,94;7;0;0,174761999796893
1;0,92;0,91;0,92;7;0;0,174762101912585
1;0,84;0,97;0,81;7;0;0,174763591700346
1;0,92;0,92;0,97;7;1;0,174763661261611
1;0,94;0,83;0,9;7;0;0,174763874067794
1;0,91;0,93;0,97;7;1;0,174764139839425
1;0,91;0,93;0,86;7;0;0,17476638930864
1;0,9;0,95;0,86;7;0;0,174766513629027
1;0,91;0,84;0,96;7;1;0,174767950727085
1;0,93;0,9;0,97;7;1;0,174768020879029
1;0,85;0,98;0,88;7;0;0,174769395947935
1;0,96;0,82;0,95;7;0;0,174769454246808
1;0,94;0,82;0,83;7;0;0,174769563222593
1;0,8;0,84;0,95;7;1;0,174769643522691
1;0,87;0,99;0,93;7;0;0,174770264375585
1;0,8;0,95;0,81;7;0;0,174770452937363
1;0,87;0,98;0,85;7;0;0,174771126825634
1;0,91;1;0,97;7;1;0,174771753044904
1;0,83;0,8;0,94;8;1;0,17477175762836
1;0,81;0,96;0,91;7;0;0,174772096676404
1;0,85;0,99;0,93;7;0;0,174772178841084
1;0,83;0,97;0,89;7;0;0,174774110931419
1;0,94;0,91;0,96;7;0;0,174778782570508
1;0,86;0,85;0,95;7;1;0,174779097809914
1;0,82;0,96;0,81;7;0;0,174781824432906
1;0,86;0,98;0,84;7;0;0,174784989383022
1;0,95;0,8;0,93;7;0;0,174785582909476
1;0,93;0,87;0,85;7;0;0,174785633057203
1;0,84;0,97;0,8;7;0;0,17478869140829
1;0,8;0,95;0,8;7;0;0,174791000568141
1;0,91;0,93;0,85;7;0;0,174791271107125
1;0,94;0,83;0,89;7;0;0,174791571246299
1;0,9;0,95;0,85;7;0;0,174791936798031
1;0,85;0,98;0,87;7;0;0,174792625333082
1;0,82;0,83;0,95;8;0;0,174793623503528
1;0,94;0,82;0,82;7;0;0,174795353672999
1;0,83;0,97;0,88;7;0;0,174795525886398
1;0,9;0,8;0,95;7;1;0,174796926066142
1;0,87;0,98;0,84;7;0;0,174797587598742
1;0,82;0,96;0,8;7;0;0,174805528279965
1;0,81;0,96;0,9;7;0;0,17480696141646
1;0,83;0,98;0,93;7;0;0,174808628827017
1;0,95;0,82;0,94;7;0;0,174809306971107
1;0,93;0,87;0,84;7;0;0,174810480880091
1;0,88;0,98;0,91;7;0;0,174811264473526
1;0,86;0,98;0,83;7;0;0,174811502429364
1;0,89;0,97;0,91;7;0;0,174814661049629
1;0,94;0,83;0,88;7;0;0,174815491646317
1;0,83;0,97;0,87;7;0;0,17481600293211
1;0,85;0,98;0,86;7;0;0,174816110989038
1;0,91;0,93;0,84;7;0;0,174816989954257
1;0,84;0,98;0,91;7;0;0,174817623909228
1;0,9;0,95;0,84;7;0;0,174818203370972
1;0,94;0,82;0,81;7;0;0,174821848907835
1;0,87;0,98;0,83;7;0;0,174824904045441
1;0,87;1;0,94;7;0;0,174825689537814
1;0,81;0,96;0,89;7;0;0,174830258322502
1;0,92;0,91;0,91;7;0;0,174833355827818
1;0,93;0,87;0,83;7;0;0,174836162853419
1;0,83;0,97;0,86;7;0;0,174836625817639
1;0,94;0,83;0,87;7;0;0,174838542610854
1;0,86;0,98;0,82;7;0;0,174838815583911
1;0,84;1;0,94;7;0;0,174839423192258
1;0,85;0,98;0,85;7;0;0,174840247089388
1;0,82;0,99;0,98;7;1;0,174841700455684
1;0,91;0,93;0,83;7;0;0,174843576821667
1;0,88;0,82;0,96;8;0;0,174844723982425
1;0,9;0,95;0,83;7;0;0,174845344935779
1;0,8;0,87;0,95;8;1;0,174845998415583
1;0,97;0,8;0,95;7;0;0,174846058662408
1;0,92;0,99;0,97;7;1;0,174846781476349
1;0,94;0,82;0,8;7;0;0,174848983907893
1;0,85;0,85;0,95;7;1;0,174849244960788
1;0,81;0,96;0,88;7;0;0,174849673814737
1;0,81;0,9;0,96;7;1;0,174851390995047
1;0,93;0,88;0,92;7;0;0,17485244281961
1;0,88;0,98;0,9;7;0;0,174852594515366
1;0,87;0,98;0,82;7;0;0,17485305653226
1;0,94;0,84;0,92;7;0;0,174854206335808
1;0,84;0,98;0,9;7;0;0,174855683562879
1;0,89;0,94;0,97;7;1;0,174855796768938
1;0,89;0,97;0,9;7;0;0,174856102331818
1;0,93;0,91;0,95;7;0;0,174856263039635
1;0,94;0,88;0,95;7;0;0,174856570920996
1;0,83;0,97;0,85;7;0;0,174857779239931
1;0,82;0,97;0,92;7;0;0,174859577813575
1;0,94;0,83;0,86;7;0;0,174861834676565
1;0,93;0,87;0,82;7;0;0,174862658868746
1;0,86;0,99;0,92;7;0;0,174863068447083
1;0,95;0,85;0,95;7;0;0,174863578394836
1;0,97;0,99;0,98;7;1;0,174863695726345
1;0,85;0,98;0,84;7;0;0,174865157544578
1;0,95;0,87;0,97;8;1;0,174865602568533
1;0,86;0,98;0,81;7;0;0,174866880039212
1;0,81;0,96;0,87;7;0;0,174868198125889
1;1;0,82;0,96;7;0;0,174869550533389
1;0,91;0,93;0,82;7;0;0,174871015595218
1;0,9;0,95;0,82;7;0;0,174873346186952
1;0,92;0,91;0,9;7;0;0,174873575531798
1;0,83;0,97;0,84;7;0;0,174879572983417
1;0,87;0,98;0,81;7;0;0,17488200236032
1;0,88;0,98;0,89;7;0;0,174882599558102
1;0,84;0,98;0,89;7;0;0,174882760078344
1;0,94;0,83;0,85;7;0;0,174885775305988
1;0,89;0,97;0,89;7;0;0,174886086395973
1;0,91;0,94;0,93;7;0;0,174886322299437
1;0,81;0,96;0,86;7;0;0,174886967128245
1;0,96;0,81;0,97;8;1;0,174888472387564
1;0,93;0,87;0,81;7;0;0,174889925686505
1;0,85;0,98;0,83;7;0;0,174890857922831
1;0,94;0,86;0,97;7;1;0,174892628574897
1;0,84;0,99;0,93;7;0;0,174894678285887
1;0,92;0,81;0,96;7;1;0,174894712652192
1;0,8;0,96;0,92;7;0;0,174895384527497
1;0,86;0,98;0,8;7;0;0,174895631639904
1;0,94;0,86;0,94;7;0;0,174897981338277
1;0,91;0,93;0,81;7;0;0,174899267072971
1;0,83;0,97;0,83;7;0;0,17490200581391
1;0,9;0,95;0,81;7;0;0,174902168814181
1;0,92;0,91;0,89;7;0;0,174902214406307
1;0,84;0,98;0,88;7;0;0,174906150283588
1;0,88;0,84;0,95;7;1;0,174906314234073
1;0,81;0,96;0,85;7;0;0,174906390030158
1;0,9;0,96;0,93;7;0;0,174908783932535
1;0,88;0,98;0,88;7;0;0,174908822541465
1;0,94;0,83;0,84;7;0;0,174910496976457
1;0,95;0,93;0,97;7;0;0,174910918245106
1;0,9;0,94;0,97;7;1;0,174911235981346
1;0,87;0,98;0,8;7;0;0,17491168394759
1;0,91;0,96;0,95;7;0;0,174912042389849
1;0,89;0,97;0,88;7;0;0,17491223883602
1;0,81;0,97;0,93;7;0;0,174914220891245
1;0,95;0,87;0,97;8;0;0,174916435913217
1;0,85;0,99;0,92;7;0;0,174916879309811
1;0,85;0,98;0,82;7;0;0,174917317014173
1;0,84;0,85;0,95;7;1;0,174917712135529
1;0,93;0,87;0,8;7;0;0,174917905409244
1;0,87;0,99;0,92;7;0;0,174918964551669
1;0,91;0,99;0,97;7;1;0,174922882181613
1;0,93;0,88;0,91;7;0;0,174923176661846
1;0,94;0,84;0,91;7;0;0,174923991788352
1;0,82;0,9;0,96;7;1;0,174924147719408
1;0,9;0,98;0,95;7;0;0,174924800525982
1;0,83;0,97;0,82;7;0;0,174925027883831
1;0,82;0,97;0,91;7;0;0,174925639483
1;0,81;0,96;0,84;7;0;0,174926591022117
1;0,92;0,91;0,88;7;0;0,174926967696899
1;0,91;0,93;0,8;7;0;0,174928277489909
1;0,84;0,98;0,87;7;0;0,174928692492577
1;0,93;0,91;0,97;7;1;0,174929760061059
1;0,95;0,8;0,92;7;0;0,174931240143629
1;0,9;0,95;0,8;7;0;0,174931759965419
1;0,86;0,99;0,91;7;0;0,174933290766048
1;0,87;0,89;0,96;7;1;0,174933994261468
1;0,93;1;0,97;7;1;0,17493410997593
1;0,88;0,98;0,87;7;0;0,174934205441173
1;0,81;0,98;0,94;7;0;0,174935015068534
1;0,92;0,93;0,97;7;1;0,174935492772617
1;0,94;0,83;0,83;7;0;0,174936022606207
1;0,89;0,97;0,87;7;0;0,174937534202726
1;0,99;0,9;0,98;7;1;0,174940484841829
1;0,84;0,89;0,96;8;0;0,174943186445842
1;0,85;0,98;0,81;7;0;0,17494447968948
1;0,81;0,96;0,83;7;0;0,174947580151675
1;0,94;0,85;0,93;7;0;0,17494840250109
1;0,83;0,97;0,81;7;0;0,174948564023023
1;0,95;0,81;0,93;7;0;0,174950166724439
1;0,92;0,91;0,87;7;0;0,174950836360099
1;0,83;0,98;0,92;7;0;0,174951096842414
1;0,84;0,98;0,86;7;0;0,174951465477684
1;0,89;0,88;0,96;7;1;0,1749528474249
1;0,92;0,98;0,97;7;1;0,17495436852025
1;0,88;0,98;0,86;7;0;0,174959876252713
1;0,82;0,97;0,9;7;0;0,174961573187227
1;0,8;0,96;0,91;7;0;0,174961798823164
1;0,94;0,83;0,82;7;0;0,174962328527691
1;0,93;0,88;0,9;7;0;0,174963094249957
1;0,89;0,97;0,86;7;0;0,174963113405384
1;0,94;0,84;0,9;7;0;0,174963460131785
1;0,9;1;0,97;7;1;0,174963644989843
1;0,93;0,99;0,97;7;1;0,174966294801378
1;0,81;0,96;0,82;7;0;0,174969318634444
1;0,8;0,9;0,96;7;1;0,174970195555753
1;0,8;1;0,95;7;0;0,174970529836643
1;0,85;0,98;0,8;7;0;0,174972275012191
1;0,83;0,97;0,8;7;0;0,174972522154262
1;0,91;0,94;0,97;7;1;0,174973748136919
1;0,86;0,99;0,9;7;0;0,174973782361398
1;0,84;0,98;0,85;7;0;0,174974858640925
1;0,92;0,91;0,86;7;0;0,174974970404997
1;0,88;0,94;0,97;7;1;0,174975619406276
1;0,83;0,91;0,96;8;1;0,174981769170372
1;0,89;0,83;0,95;7;1;0,174983257985061
1;0,83;0,85;0,95;7;1;0,174984966205324
1;0,85;0,99;0,91;7;0;0,174986104108813
1;0,82;0,97;0,89;7;0;0,174986195278677
1;0,88;0,98;0,85;7;0;0,174986253790417
1;0,94;0,83;0,81;7;0;0,174989367936266
1;0,89;0,97;0,85;7;0;0,174989400573191
1;0,87;0,99;0,91;7;0;0,174990464870865
1;0,93;0,88;0,89;7;0;0,174991511341422
1;0,94;0,84;0,89;7;0;0,174991613930458
1;0,81;0,96;0,81;7;0;0,174991743504385
1;0,97;0,85;0,96;7;0;0,174993781073119
1;0,8;0,96;0,9;7;0;0,174996721323232
1;0,84;0,98;0,84;7;0;0,174998990834519
1;0,82;0,99;0,94;7;0;0,174999054150962
1;0,8;0,98;0,98;7;1;0,174999312122184
1;0,98;0,81;0,97;8;0;0,174999591870525
1;0,92;0,91;0,85;7;0;0,174999796117094
1;0,95;0,8;0,91;7;0;0,175000422059088
1;0,86;0,99;0,89;7;0;0,175003203158621
1;0,92;0,94;0,97;8;1;0,175005860249607
1;0,82;0,97;0,88;7;0;0,175006941425304
1;0,81;0,87;0,95;8;1;0,17501147865552
1;0,88;0,98;0,84;7;0;0,175013480040291
1;0,81;0,96;0,8;7;0;0,175014776836611
1;0,83;0,9;0,96;7;1;0,175014857428238
1;0,91;0,97;0,97;8;0;0,175015634162032
1;0,94;0,84;0,88;7;0;0,175015968742873
1;0,93;0,88;0,88;7;0;0,175016068368045
1;0,89;0,97;0,84;7;0;0,175016540138377
1;0,94;0,83;0,8;7;0;0,175017079259365
1;0,83;0,98;0,91;7;0;0,175018108739581
1;0,8;0,96;0,89;7;0;0,175019861798113
1;0,83;1;0,94;7;0;0,175021023631484
1;0,84;0,98;0,83;7;0;0,175023872138338
1;0,82;0,81;0,94;8;1;0,17502544649477
1;0,92;0,91;0,84;7;0;0,175025457239872
1;0,85;0,99;0,9;7;0;0,175025850905617
1;0,82;0,97;0,87;7;0;0,175026696797102
1;0,86;0,99;0,88;7;0;0,175028933413201
1;0,99;0,8;0,97;8;0;0,175029031190033
1;0,89;1;0,95;7;0;0,175029356745008
1;0,87;0,99;0,9;7;0;0,175031816081587
1;0,93;0,98;0,97;7;1;0,175037537454458
1;0,84;0,99;0,92;7;0;0,175038251585849
1;0,92;0,97;0,97;7;1;0,175038290970195
1;0,8;0,96;0,88;7;0;0,175039018845977
1;0,91;0,94;0,92;7;0;0,175039049348691
1;0,94;0,84;0,87;7;0;0,175039453517716
1;0,95;0,8;0,9;7;0;0,175039710858622
1;0,93;0,88;0,87;7;0;0,175039744360533
1;0,82;0,98;0,93;7;0;0,175040396604963
1;0,87;0,85;0,95;7;1;0,175040693084358
1;0,88;0,98;0,83;7;0;0,175041587165641
1;0,91;0,98;0,97;7;1;0,175043393675916
1;0,89;0,97;0,83;7;0;0,175044565680598
1;0,92;0,94;0,97;7;1;0,175045572529316
1;0,82;0,85;0,95;7;1;0,175046255595601
1;0,82;0,97;0,86;7;0;0,175046549452654
1;0,88;0,99;0,93;7;0;0,17504785235339
1;0,95;0,83;0,94;7;0;0,175047912420102
1;0,84;0,98;0,82;7;0;0,175049465383658
1;0,93;0,92;0,97;7;1;0,175051801587495
1;0,92;0,91;0,83;7;0;0,175051985448036
1;0,86;0,99;0,87;7;0;0,175053849859386
1;0,94;0,87;0,97;7;1;0,1750546018214
1;0,85;0,99;0,89;7;0;0,175054619934469
1;0,83;0,98;0,9;7;0;0,175055605148415
1;0,8;0,96;0,87;7;0;0,175057224811358
1;0,81;0,97;0,92;7;0;0,175057819809013
1;0,86;1;0,93;7;0;0,175060261083086
1;0,9;0,96;0,92;7;0;0,175061654265931
1;0,87;0,99;0,89;7;0;0,175061936814824
1;0,94;0,84;0,86;7;0;0,175063188358325
1;0,93;0,88;0,86;7;0;0,17506368025968
1;0,82;0,97;0,85;7;0;0,175066882491686
1;0,95;0,8;0,89;7;0;0,175067840175471
1;0,93;0,89;0,93;7;0;0,175068497481132
1;0,88;0,98;0,82;7;0;0,175070561003841
1;0,92;0,92;0,93;7;0;0,175072212297861
1;0,89;0,97;0,82;7;0;0,175073464135157
1;0,92;0,94;0,95;7;0;0,175075145750584
1;0,85;1;0,93;7;0;0,175075311808099
1;0,96;0,8;0,94;7;0;0,175075584808437
1;0,8;0,96;0,86;7;0;0,175075629776117
1;0,84;0,98;0,81;7;0;0,17507570902063
1;0,86;0,99;0,86;7;0;0,175079053237678
1;0,92;0,91;0,82;7;0;0,175079365225237
1;0,85;0,99;0,88;7;0;0,175079727352017
1;0,83;0,98;0,89;7;0;0,175082074632358
1;0,94;0,84;0,85;7;0;0,175087585785491
